Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Event Venue Name,Event Category,Event Website
Gowanus Jug & String Band Sessions,"Tuesday evenings, 6-8:30 April through October. At the Gowanus Dredgers Boathouse 165 2nd Street between Bond and the Gowanus Canal. We are excited to expand our musical offerings with this new weekly jam. Dredger Host: Liz Rabson Schnore Jam Leader: Papa Ernie Vega What Jug band and String band music? Let’s start with String band music. Black String band music, which will be our focus, was created by Southern Blacks and pre-dates the Blues & Jazz. Groups which consisted of mostly stringed instruments (guitar, banjo, bass, violin, mandolin, ukulele, etc) performed a wide variety of songs and styles for all manner of social functions and for personal enjoyment; two-steps, waltzes and breakdowns for dances, ballads and love songs, humorous & novelty songs, as well as blues, jazz, and pop tunes as they came into fashion. This genre, sadly, was under-represented by the burgeoning recording industry in the 1920’s and 30’s, which helped contribute to its already declining popularity in the wake of the success of the Blues and Jazz: though groups like the Mississippi Sheiks and the Dallas String Band did make great and popular recordings. The genre never completely died out, however, and is alive and well today thanks to the perseverance of its practitioners and the dedication of its fans, which has led to a rediscovery and a new appreciation by audiences young and old. Jug band music developed in the early 20th century within Southern Black communities and was essentially a string band with a jug used as a “poor man’s tuba”, in the role of a bass instrument. Other household items as instruments were popular as well; washboard and/or spoons for percussion, washtub bass, and kazoo. These combined with the guitars, banjos, mandolins/violins of the traditional string band, along with the harmonica, made for a unique sound that won the hearts of the public in the early days of the recording industry. The Memphis Jug Band and Cannon’s Jug Stompers recorded well over a hundred examples of blues, ballads, pop and dance numbers – and they’re just the tip of the iceberg. The genre found new life in the Folk Music Revival of the 1960’s and remains popular to this day. These sessions will be open to Intermediate and above players, and we encourage you to sing along and bring a song to lead. To lead a song, you will be expected to sing it loudly enough for those around you to hear, to know the key you will sing in, and to explain the chord changes and form of the song if need be. We may also discuss some ideas for performing in an ensemble to help everyone find their place in the music. Papa Ernie Vega is a NYC singer, instrumentalist, bandleader, teacher, songwriter and performing/recording artist. He has over 20 years of professional experience and has performed at the Newport Folk Festival, the Jug Band Jubilee and the Osaka Jug Band Festival. He also taught and performed at the Port Townsend Acoustic Blues Festival from 2016-2021. He is a lover of fine cheap food, old movies, humor, and photography. More information on all the Boathouse Jams HERE",2026-10-06,,2026-10-06,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/gowanus-jug-string-band-sessions-3/2026-10-06/
Boathouse Bluegrass Jam,"The Boathouse Jam every Wednesday evening 6-8:30 April-Oct. Just come, bring an acoustic instrument. The Boathouse Jam is hosted by the Gowanus Dredgers Canoe Club to activate our shoreline while fostering the continued resurgence of acoustical collaborations in Brooklyn. We are inclusive of all – young & old, new & seasoned musicians. Just bring a smile and your musical instrument and/or your voice to join our one night makeshift band. Free but a $5 suggested donation is encouraged, limited beverages are provided. The Boathouse is located at 165 2nd Street, Brooklyn NY between Bond Street and the Gowanus Canal. Sessions are rain or shine, we gather outside the Boathouse unless it’s cold or raining then we move inside. Since 1999, the Dredgers have empowered people to care for the Gowanus Canal through advocacy, conservation, and education. Our organization promotes waterfront stewardship and is raising awareness of sewer overflow issues that affect our Gowanus Canal in Brooklyn, NY. More information on all the Boathouse Jams HERE",2026-10-07,,2026-10-07,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/boathouse-bluegrass-jam-2/2026-10-07/
A Persistence of Cormorants Poetry Reading,"A Persistence of Cormorants is a summer-long poetry reading series on our shoreline featuring accomplished and exceptional poets from the New York area, many of who live in Brooklyn. On each of the scheduled Sundays, from 1:30 to 3:30, up to four featured poets will read for 10 to 15 minutes each. Gerry reads poetry at the canal The readings will be followed by open mic time limited to ten readers (one poem no longer than 3 minutes) who have signed up the day of the reading on a first come basis. Reading will be outdoors at the Gowanus open shoreline and we invite you to engage with the emerging Gowanus Canal habitat as we witness the EPA conduct their SuperFUN/d cleanup program. Event may move to inside the boathouse if it begins to rain or we want to escape the summer heat. If other activity is occurring on the street or esplanade, event may move inside. Participation is free but we encourage donations to sustain the efforts of the Gowanus Dredgers Canoe Club, an advocacy stewardship organization who has been representing neighborhood interests for over two decades. May17 Linda Lerner, Patricia Carrigton, Abigail Welhouse, Bill Lessard June7 Susan Michele, Gregory Crosby, Melinda Wilson, Dennis Nurkse14 Donna Masini, Richard Smith, Maria Lisella, Elizabeth T Gray Jr.28 Elaine Sexton, Karen Hildebrand, Don Yorty, Judith Lee Herbert July12 David Katz, Estha Wiener, Shean Nevin, Katherine Swett19 Sarah Wallace, Ashley Mabitt, Zoe White, and Michael T. Young26 Broadstone Books: S.H. Case, Myra Malkin, Vera Salter, Stephanie Laterza, David Mills, Lucia Cherclu August2 Jiwon Choi, Amy Holman, Miranda Beeson, Sarah Sarai9 Kimiko Hahn, Joanne Solfrian, Sam Cha, Mervyn Taylor16 KGB: John Demming, Selena Spier, Tyler Allen, Penny Susan Lewis, Jada Gordon23 Karen Neuberg, Scott Hightower, Indran Amirthanayagam, Neil Shepard30 Titanic September13 Hilary Sideris, Tom Sleigh, Austin Alexis, Kristine Esser-Slentz20 Joanne McFarland, Ruth Danon, Brad Vogel, David Formanek27 Amy Lemmon, Jane Rosenberg LaForge, Richard Levine, Nicole Callihan October4 Lisa Andrews, Lisa Badner, Arden Levine, Anthony Capo11 Broadstone Books: Amy Barone, Margo Taft Stever, Billy Cancel, Mary Moloney",2026-10-11,,2026-10-11,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/a-persistence-of-cormorants-poetry-reading-3/2026-10-11/
Gowanus Jug & String Band Sessions,"Tuesday evenings, 6-8:30 April through October. At the Gowanus Dredgers Boathouse 165 2nd Street between Bond and the Gowanus Canal. We are excited to expand our musical offerings with this new weekly jam. Dredger Host: Liz Rabson Schnore Jam Leader: Papa Ernie Vega What Jug band and String band music? Let’s start with String band music. Black String band music, which will be our focus, was created by Southern Blacks and pre-dates the Blues & Jazz. Groups which consisted of mostly stringed instruments (guitar, banjo, bass, violin, mandolin, ukulele, etc) performed a wide variety of songs and styles for all manner of social functions and for personal enjoyment; two-steps, waltzes and breakdowns for dances, ballads and love songs, humorous & novelty songs, as well as blues, jazz, and pop tunes as they came into fashion. This genre, sadly, was under-represented by the burgeoning recording industry in the 1920’s and 30’s, which helped contribute to its already declining popularity in the wake of the success of the Blues and Jazz: though groups like the Mississippi Sheiks and the Dallas String Band did make great and popular recordings. The genre never completely died out, however, and is alive and well today thanks to the perseverance of its practitioners and the dedication of its fans, which has led to a rediscovery and a new appreciation by audiences young and old. Jug band music developed in the early 20th century within Southern Black communities and was essentially a string band with a jug used as a “poor man’s tuba”, in the role of a bass instrument. Other household items as instruments were popular as well; washboard and/or spoons for percussion, washtub bass, and kazoo. These combined with the guitars, banjos, mandolins/violins of the traditional string band, along with the harmonica, made for a unique sound that won the hearts of the public in the early days of the recording industry. The Memphis Jug Band and Cannon’s Jug Stompers recorded well over a hundred examples of blues, ballads, pop and dance numbers – and they’re just the tip of the iceberg. The genre found new life in the Folk Music Revival of the 1960’s and remains popular to this day. These sessions will be open to Intermediate and above players, and we encourage you to sing along and bring a song to lead. To lead a song, you will be expected to sing it loudly enough for those around you to hear, to know the key you will sing in, and to explain the chord changes and form of the song if need be. We may also discuss some ideas for performing in an ensemble to help everyone find their place in the music. Papa Ernie Vega is a NYC singer, instrumentalist, bandleader, teacher, songwriter and performing/recording artist. He has over 20 years of professional experience and has performed at the Newport Folk Festival, the Jug Band Jubilee and the Osaka Jug Band Festival. He also taught and performed at the Port Townsend Acoustic Blues Festival from 2016-2021. He is a lover of fine cheap food, old movies, humor, and photography. More information on all the Boathouse Jams HERE",2026-10-13,,2026-10-13,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/gowanus-jug-string-band-sessions-3/2026-10-13/
Boathouse Bluegrass Jam,"The Boathouse Jam every Wednesday evening 6-8:30 April-Oct. Just come, bring an acoustic instrument. The Boathouse Jam is hosted by the Gowanus Dredgers Canoe Club to activate our shoreline while fostering the continued resurgence of acoustical collaborations in Brooklyn. We are inclusive of all – young & old, new & seasoned musicians. Just bring a smile and your musical instrument and/or your voice to join our one night makeshift band. Free but a $5 suggested donation is encouraged, limited beverages are provided. The Boathouse is located at 165 2nd Street, Brooklyn NY between Bond Street and the Gowanus Canal. Sessions are rain or shine, we gather outside the Boathouse unless it’s cold or raining then we move inside. Since 1999, the Dredgers have empowered people to care for the Gowanus Canal through advocacy, conservation, and education. Our organization promotes waterfront stewardship and is raising awareness of sewer overflow issues that affect our Gowanus Canal in Brooklyn, NY. More information on all the Boathouse Jams HERE",2026-10-14,,2026-10-14,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/boathouse-bluegrass-jam-2/2026-10-14/
Monthly Meeting + Paddle,"Socialize with the Dredgers at our BUNKER (2 19th St, off of 3rd Ave) for a casual member catch-up and paddle! We’ll gather at 6:30 for some chatting and aim to be on-water around 7:15. Meet at the Gowanus Dredgers Canoe Club 19th St. Launch, 2 19 St, Brooklyn, (off of 3rd Ave.). If you plan to join the paddle, wear sunscreen and bring a bottle filled with water. Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Use a restroom before arrival, as we have limited facilities on-site. All paddlers must sign a waiver. Weather (wind, waves or evidence of storm) may cancel the paddling portion with one hour advance notice. In case of inclement weather, meeting will be relocated follow us on Instagram or sign up for our mailing list to stay informed.",2026-10-19,,2026-10-19,,1,NY,Arts & Culture,https://gowanusdredgers.org/event/monthly-meeting-paddle-2/2026-10-19/
Gowanus Jug & String Band Sessions,"Tuesday evenings, 6-8:30 April through October. At the Gowanus Dredgers Boathouse 165 2nd Street between Bond and the Gowanus Canal. We are excited to expand our musical offerings with this new weekly jam. Dredger Host: Liz Rabson Schnore Jam Leader: Papa Ernie Vega What Jug band and String band music? Let’s start with String band music. Black String band music, which will be our focus, was created by Southern Blacks and pre-dates the Blues & Jazz. Groups which consisted of mostly stringed instruments (guitar, banjo, bass, violin, mandolin, ukulele, etc) performed a wide variety of songs and styles for all manner of social functions and for personal enjoyment; two-steps, waltzes and breakdowns for dances, ballads and love songs, humorous & novelty songs, as well as blues, jazz, and pop tunes as they came into fashion. This genre, sadly, was under-represented by the burgeoning recording industry in the 1920’s and 30’s, which helped contribute to its already declining popularity in the wake of the success of the Blues and Jazz: though groups like the Mississippi Sheiks and the Dallas String Band did make great and popular recordings. The genre never completely died out, however, and is alive and well today thanks to the perseverance of its practitioners and the dedication of its fans, which has led to a rediscovery and a new appreciation by audiences young and old. Jug band music developed in the early 20th century within Southern Black communities and was essentially a string band with a jug used as a “poor man’s tuba”, in the role of a bass instrument. Other household items as instruments were popular as well; washboard and/or spoons for percussion, washtub bass, and kazoo. These combined with the guitars, banjos, mandolins/violins of the traditional string band, along with the harmonica, made for a unique sound that won the hearts of the public in the early days of the recording industry. The Memphis Jug Band and Cannon’s Jug Stompers recorded well over a hundred examples of blues, ballads, pop and dance numbers – and they’re just the tip of the iceberg. The genre found new life in the Folk Music Revival of the 1960’s and remains popular to this day. These sessions will be open to Intermediate and above players, and we encourage you to sing along and bring a song to lead. To lead a song, you will be expected to sing it loudly enough for those around you to hear, to know the key you will sing in, and to explain the chord changes and form of the song if need be. We may also discuss some ideas for performing in an ensemble to help everyone find their place in the music. Papa Ernie Vega is a NYC singer, instrumentalist, bandleader, teacher, songwriter and performing/recording artist. He has over 20 years of professional experience and has performed at the Newport Folk Festival, the Jug Band Jubilee and the Osaka Jug Band Festival. He also taught and performed at the Port Townsend Acoustic Blues Festival from 2016-2021. He is a lover of fine cheap food, old movies, humor, and photography. More information on all the Boathouse Jams HERE",2026-10-20,,2026-10-20,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/gowanus-jug-string-band-sessions-3/2026-10-20/
Boathouse Bluegrass Jam,"The Boathouse Jam every Wednesday evening 6-8:30 April-Oct. Just come, bring an acoustic instrument. The Boathouse Jam is hosted by the Gowanus Dredgers Canoe Club to activate our shoreline while fostering the continued resurgence of acoustical collaborations in Brooklyn. We are inclusive of all – young & old, new & seasoned musicians. Just bring a smile and your musical instrument and/or your voice to join our one night makeshift band. Free but a $5 suggested donation is encouraged, limited beverages are provided. The Boathouse is located at 165 2nd Street, Brooklyn NY between Bond Street and the Gowanus Canal. Sessions are rain or shine, we gather outside the Boathouse unless it’s cold or raining then we move inside. Since 1999, the Dredgers have empowered people to care for the Gowanus Canal through advocacy, conservation, and education. Our organization promotes waterfront stewardship and is raising awareness of sewer overflow issues that affect our Gowanus Canal in Brooklyn, NY. More information on all the Boathouse Jams HERE",2026-10-21,,2026-10-21,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/boathouse-bluegrass-jam-2/2026-10-21/
Full Moon Gowanus Voyage - OCTOBER,"Join our Crew on a full-moon guided adventure!! Meet at the the Gowanus Dredgers Bunker, at the end of 19th St / off 3rd Ave, 11232 – NOT our 2nd St. boathouse. 🎟️ Tickets required, get yours here. 🎟️ (Tickets go on sale Thursday, October 1 at 12:00 PM) Moonrise 17:58 |Sunset 18:01 | Civil End 18:29 | Nautical End 19:00 The stars should be on display along with harbor lights. We will provide lights for each canoe, you’re welcome to bring/wear your own head lamp as well. Each canoe will have up to 3 people. Solo paddlers are welcome, you will be paired with other members of the group based on experience and comfort in a canoe. Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Use a restroom before arrival, as we have limited facilities on-site. Due to EPA cleaning of the Gowanus Canal, voyage will head towards the 9th St bridge and return to Gowanus Bay and our new South Gowanus Bunker. If raining or threatening weather (high winds, lightning) by 3:30 pm we may cancel. Attendees will be notified via the email used to purchase tickets. Tour is not cancelled due to clouds but let’s hope for a clear sky for the moon rise! Tickets are nonrefundable for any event that proceeds as planned. We will offer the option to transfer your ticket to another event if we have to cancel for weather. Transfer must be requested before the tour starts. If you choose not to transfer, the cost of your ticket becomes a tax-deductible donation to the Gowanus Dredgers.",2026-10-25,,2026-10-25,,1,"Gowanus Dredgers Bunker (19th St.), 2 19th St., Brooklyn, NY",Arts & Culture,https://gowanusdredgers.org/event/full-moon-gowanus-voyage-may/
Gowanus Jug & String Band Sessions,"Tuesday evenings, 6-8:30 April through October. At the Gowanus Dredgers Boathouse 165 2nd Street between Bond and the Gowanus Canal. We are excited to expand our musical offerings with this new weekly jam. Dredger Host: Liz Rabson Schnore Jam Leader: Papa Ernie Vega What Jug band and String band music? Let’s start with String band music. Black String band music, which will be our focus, was created by Southern Blacks and pre-dates the Blues & Jazz. Groups which consisted of mostly stringed instruments (guitar, banjo, bass, violin, mandolin, ukulele, etc) performed a wide variety of songs and styles for all manner of social functions and for personal enjoyment; two-steps, waltzes and breakdowns for dances, ballads and love songs, humorous & novelty songs, as well as blues, jazz, and pop tunes as they came into fashion. This genre, sadly, was under-represented by the burgeoning recording industry in the 1920’s and 30’s, which helped contribute to its already declining popularity in the wake of the success of the Blues and Jazz: though groups like the Mississippi Sheiks and the Dallas String Band did make great and popular recordings. The genre never completely died out, however, and is alive and well today thanks to the perseverance of its practitioners and the dedication of its fans, which has led to a rediscovery and a new appreciation by audiences young and old. Jug band music developed in the early 20th century within Southern Black communities and was essentially a string band with a jug used as a “poor man’s tuba”, in the role of a bass instrument. Other household items as instruments were popular as well; washboard and/or spoons for percussion, washtub bass, and kazoo. These combined with the guitars, banjos, mandolins/violins of the traditional string band, along with the harmonica, made for a unique sound that won the hearts of the public in the early days of the recording industry. The Memphis Jug Band and Cannon’s Jug Stompers recorded well over a hundred examples of blues, ballads, pop and dance numbers – and they’re just the tip of the iceberg. The genre found new life in the Folk Music Revival of the 1960’s and remains popular to this day. These sessions will be open to Intermediate and above players, and we encourage you to sing along and bring a song to lead. To lead a song, you will be expected to sing it loudly enough for those around you to hear, to know the key you will sing in, and to explain the chord changes and form of the song if need be. We may also discuss some ideas for performing in an ensemble to help everyone find their place in the music. Papa Ernie Vega is a NYC singer, instrumentalist, bandleader, teacher, songwriter and performing/recording artist. He has over 20 years of professional experience and has performed at the Newport Folk Festival, the Jug Band Jubilee and the Osaka Jug Band Festival. He also taught and performed at the Port Townsend Acoustic Blues Festival from 2016-2021. He is a lover of fine cheap food, old movies, humor, and photography. More information on all the Boathouse Jams HERE",2026-10-27,,2026-10-27,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/gowanus-jug-string-band-sessions-3/2026-10-27/
Brooklyn Folk Festival: Banjo Toss Competition,"Each year, as part of the Brooklyn Folk Festival , contestants gather on the banks of the fetid Gowanus Canal to see who can throw a banjo the farthest in the – BANJO TOSS: BANJO THROWING COMPETITION! The special “throwing banjo”, attached to a rope is tossed into the canal, a federally designate Super Fund site. The marked rope pays out, showing how far the banjo has been tossed. It is then hauled back in for the next throw. The Brooklyn Folk Festival is presented each year by the Jalopy Theatre & School of Music, a grassroots Red Hook, Brooklyn community space that is a music venue, music school, and record label. We are excited to support the Banjo Toss event activity so please stop by and join the fun! We are told the best preparation for this competition is to attend a show at the Brooklyn Folk Festival so purchase tickets now before they are sold out. While bearded men and women are growing in popularity as more people live, work and play in our Gowanus neighborhood, we are assured by the organizers that beards are optional. Our amazing collection of competitors reinforces the Dredgers theme of inclusion so stop by to cheer our competitors or compete in the toss as well!",2026-11-08,,2026-11-08,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/brooklyn-folk-festival-banjo-toss-competition-3/
Carousel Rides,"Children’s Corner, $3 per ride, $13 for a book of 5 tickets, Free with Prospect Park Alliance Family Supporter membership or higher. Enjoy a ride on Prospect Park’s beloved 1912 Carousel. Open Thursdays – Sundays and Holidays, this treasured historic attraction features magnificent carved horses, lions, giraffes and deer. Join the Alliance at the Family Supporter level or above and enjoy unlimited free rides!",2026-09-18,,2026-09-18,,1,,Parks & Open Space,https://www.prospectpark.org/event/carousel-rides-9/2026-09-18/
Molière in the Park: Don Juan,"Join Molière in the Park, in partnership with Prospect Park Alliance, for a free production of Molière’s most subversive masterpiece, Don Juan. Following the infamous seducer over a single day of defiance and betrayal, this thrilling production blends comedy, tragedy, and the supernatural. Translated by Stephen Wadsworth and directed by Drama Desk nominee Lucie Tiberghien, featuring live original cello music by Drama Desk nominee Johnathan Moore. RSVP About Molière in the Park: The mission of Molière in the Park (MIP) is to foster empathy and unity within the diverse communities in Brooklyn through the arts. We offer free opportunities for all to come together in Prospect Park and beyond and experience the benefits of theater. MIP’s vision is of a Brooklyn where all communities can benefit equally from access to theater and the Arts. Find out more at www.moliereinthepark.org",2026-09-18,,2026-09-18,,1,,Parks & Open Space,https://www.prospectpark.org/event/moliere-in-the-park-don-juan-3/2026-09-18/
Greenmarket at Grand Army Plaza,"At what other market can you do all your food shopping, sample local wine and explore Brooklyn’s favorite park? Established in 1989, the Grand Army Plaza greenmarket is the flagship Brooklyn market. EBT/Food Stamps and WIC & Senior FMNP coupons accepted year-round. Learn More For a full calendar of events and a list of sellers, visit the GrowNYC website. Learn about all Nutrition Benefit Programs accepted at GrowNYC Markets.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2026-09-19/
Dance Fitness with Shape Up NYC at the Boathouse,"Join Prospect Park Alliance and Shape-up NYC for a fun-filled dance fitness zumba class at the Boathouse! Zumba is a fusion of Latin, International and popular music dance themes creating a dynamic, exciting, effective fitness system. All levels are welcomed and encouraged. Whether you want to learn some new choreography or need a space to step-touch and sing, this class is for you!",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/dance-fitness-with-shape-up-nyc-at-the-boathouse-8/2026-09-19/
Introduction to Birdwatching Outings,"Whether you’re new to birding or looking to build your skills, this introductory outing is a great way to explore Prospect Park and learn about the birds that visit throughout the year. Join a member of the Brooklyn Bird Club to learn birding basics and search for the dozens of species found in the park across all seasons. All ages and experience levels are welcome. No registration is required. Children under 12 must be accompanied by an adult. What to Bring: Binoculars if you have them, comfortable walking shoes, water, and weather-appropriate clothing. A limited number of binoculars will be available to borrow. Please Note: Pets are not permitted on this outing. Depending on attendance, participants may be divided into smaller groups. Outings are held rain or shine unless severe weather makes conditions unsafe. Route Description: This outing moves at a relaxed pace with frequent stops to observe birds. Routes may vary from week to week depending on bird activity and park conditions. Participants can expect paved paths, dirt trails, grassy areas, slight inclines and occasional steps. The group will cover approximately 1.5–2 miles. Learn more on the Brooklyn Bird Club website.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3-2/2026-09-19/
Park Pitch In: International Coastal Clean Up,"Join Prospect Park Alliance for the annual International Coastal Cleanup! Held every September, volunteers will remove debris from beaches and waterways while identifying and documenting the types of debris they find. Appropriate for groups, teens and adults. Register as an Individual or Register as a Group Register online or call (929) 888-6826 for more information.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/park-pitch-in-international-coastal-clean-up-4/
Nature Exploration: Tree Appreciation Month,"Join Prospect Park Alliance for nature education programs on Saturdays and Sundays at the Prospect Park Audubon Center, the first urban Audubon Center in the nation. Leaf Art, 10 am–12 pm: Let’s have fun exploring the unique features of trees and their uniquely shaped leaves. Let your creativity flourish as you craft art inspired by nature. Nature Detective, 10 am–1 pm: What can you discover when you slow down and look closely? Borrow a sketchbook and observation guide, then record your discoveries and sketch what catches your eye, just like a naturalist in the field! Fall Leaf Discovery, 12–1 pm: Join us as we delve into the wonder of nature! Are you curious about why and when trees shed their leaves? Gain hands-on experience in citizen science as we explore the Prospect Park environment and witness how changing temperatures affect the trees. We will provide you with a guide to help you record your observations. This program leaves the Audubon Center promptly at 12 pm.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/nature-exploration-tree-appreciation-month-6/2026-09-19/
Pop-Up Audubon I,"Celebrate Autumn in Prospect Park by supporting migratory birds! Join Prospect Park Alliance Naturalists to design your own colorful autumn leaf window cling. These fun, decorative clings help prevent bird-window collisions by making glass more visible to migrating birds. All materials provided — family-friendly and free to participate! Also enjoy: Stay + Play, 12–3 pm: Families, children and caregivers can enjoy a range of nature fun including games, puzzles and drawing activities. Nature on the Go, 3–4 pm: Join an Alliance Naturalist as we explore the park’s trails for signs of fall. Be a Park Champion by helping pick up trash along the way. Pop-Up Audubon will be canceled in the event of inclement weather, including rain, extreme heat (temperatures of 90°F or higher), or “Very Unhealthy” air quality conditions.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/pop-up-audubon-i-11/2026-09-19/
Pop-Up Audubon II,"Have you ever wondered what lives beneath your feet on the forest floor? Join Prospect Park Alliance naturalists to explore the hidden world of leaf litter. Through hands-on observation, you’ll uncover insects, decomposers, and other small creatures that play a big role in keeping the ecosystem healthy. Also enjoy: Stay + Play, 12–3 pm: Families, children and caregivers can enjoy a range of nature fun including games, puzzles and drawing activities. Nature on the Go, 3–4 pm: Join an Alliance Naturalist as we explore the park’s trails for signs of fall. Be a Park Champion by helping pick up trash along the way. Pop-Up Audubon will be canceled in the event of inclement weather, including rain, extreme heat (temperatures of 90°F or higher), or “Very Unhealthy” air quality conditions.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/pop-up-audubon-ii-8/2026-09-19/
Carousel Rides,"Children’s Corner, $3 per ride, $13 for a book of 5 tickets, Free with Prospect Park Alliance Family Supporter membership or higher. Enjoy a ride on Prospect Park’s beloved 1912 Carousel. Open Thursdays – Sundays and Holidays, this treasured historic attraction features magnificent carved horses, lions, giraffes and deer. Join the Alliance at the Family Supporter level or above and enjoy unlimited free rides!",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/carousel-rides-9/2026-09-19/
Exhibit: The Shirley Chisholm Way: Brooklyn's Blueprint for Change,"Join Prospect Park Alliance and Shirley Chisholm Cultural Institute (SCCI) for a new exhibit that explores how Brooklyn’s beloved daughter broke down gender and racial barriers to fight for her community, becoming the first Black woman elected to Congress. The exhibit is organized around seven life lessons drawn from Chisholm’s tenacious career. It features stunning portraits of Chisholm by artist Al Johnson and rarely seen photographs and memorabilia from the Congresswoman’s campaigns, curated by Barbara Bullard, Creative Producer and President of SCCI. These materials offer inspirational insights into how Brooklyn’s beloved daughter broke down gender and racial barriers to become the first Black woman to serve in Congress. This exhibit provides visitors with a space to reflect on Chisholm’s legacy as Prospect Park Alliance welcomes the installation of a new monument in her honor at the Parkside and Ocean Avenue entrance in 2027. The exhibit, curated by Barbara Bullard, Cultural Producer and President of the Shirley Chisholm Cultural Institute, is part of Prospect Park Alliance’s ReImagine Lefferts initiative, which is transforming the museum to explore the legacies of resistance and resilience of the Indigenous people of Lenapehoking, whose unceded ancestral lands the park and house rests upon, and Africans who were enslaved by the Lefferts family. The Shirley Chisholm Cultural Institute (SCCI) has been at the forefront of art, culture, and justice and economic sustainability since 1977, with the official permission and participation of Congresswoman Chisholm herself in its inception and development. Its purpose is to preserve the legacy of Congresswoman Shirley Chisholm through the initiatives cultivated during her public service career with 21st century activism and innovation. SCCI is aligned with grassroots groups and frontline communities through creating substantive community-based partnership and collaboration along with strategic interoperative relationships with leaders of governmental, and mainstream organizations.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/the-shirley-chisholm-way-brooklyns-blueprint-for-change-4/2026-09-19/
BRIC Celebrate Brooklyn! Benefit Show: Liz Phair Sleater-Kinney,"Liz Phair is coming to BRIC Celebrate Brooklyn! Festival, with Sleater-Kinney! Liz Phair is a trailblazing singer-songwriter, Liz Phair rose to fame with her 1993 debut, Exile in Guyville, a feminist landmark that redefined indie rock with its raw honesty. Over a career spanning three decades, she has sold over five million records, received two GRAMMY nominations, and expanded her creative reach into television composition and acclaimed memoir writing. Sleater-Kinney was formed in the mid-90s and is a powerhouse of indie and punk rock defined by the “alchemical” connection between Carrie Brownstein and Corin Tucker. Known for their explosive live shows and galvanized feminist themes, the band has maintained critical and cultural vitality for thirty years, recently evolving their signature sound on their 2024 album, Little Rope. Get Tickets + Learn More This is a ticketed BRIC Celebrate Brooklyn! Benefit Concert that supports BRIC’s free programming. This performance is part of BRIC Celebrate Brooklyn!, presented by BRIC in partnership with Prospect Park Alliance.",2026-09-19,,2026-09-19,,1,,Parks & Open Space,https://www.prospectpark.org/event/benefit-show-liz-phair-sleater-kinney/
Sunday Greenmarket at Bartel-Pritchard Square,"Nestled inside Prospect Park’s tree-shaded southwest corner, this much-loved market is where South Slope and Windsor Terrace residents stock up on locally grown staples. The offerings range from a selection of vegetables, fruits, baked goods, plants and flowers to fresh-caught fish and organic baked goods. Learn More For a full calendar of events and a list of sellers, visit the GrowNYC website. Learn about all Nutrition Benefit Programs accepted at GrowNYC Markets",2026-09-20,,2026-09-20,,1,,Parks & Open Space,https://www.prospectpark.org/event/sunday-greenmarket-at-bartel-pritchard-square-4/2026-09-20/
